ticker_yf,obs_date,y_inclusion_horizon,y_exclusion_horizon,y_any_change_horizon,days_to_next_inclusion,days_to_next_exclusion,days_to_next_any_change,horizon_days,date_grid_mode,label_fully_observed,证券代码,中文简称,英文简称,code_num,sources,universe_flag
0285.HK,2016-12-05,0,0,0,2745.0,,2745.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2017-03-06,0,0,0,2654.0,,2654.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2017-09-04,0,0,0,2472.0,,2472.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2017-12-04,0,0,0,2381.0,,2381.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2018-03-05,0,0,0,2290.0,,2290.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2018-06-04,0,0,0,2199.0,,2199.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2018-09-10,0,0,0,2101.0,,2101.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2018-12-10,0,0,0,2010.0,,2010.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2019-03-11,0,0,0,1919.0,,1919.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2019-06-17,0,0,0,1821.0,,1821.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2019-09-09,0,0,0,1737.0,,1737.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2019-12-09,0,0,0,1646.0,,1646.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2020-03-09,0,0,0,1555.0,,1555.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2020-06-08,0,0,0,1464.0,,1464.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2020-09-07,0,0,0,1373.0,,1373.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2020-12-07,0,0,0,1282.0,,1282.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2021-03-15,0,0,0,1184.0,,1184.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2021-06-07,0,0,0,1100.0,,1100.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2021-09-06,0,0,0,1009.0,,1009.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2021-12-06,0,0,0,918.0,,918.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2022-06-13,0,0,0,729.0,,729.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2022-12-05,0,0,0,554.0,,554.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2023-12-04,0,0,0,190.0,,190.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2024-03-04,0,0,0,99.0,,99.0,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2024-06-11,0,0,0,,,,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
