change_type,event_day,n_events,avg_daily_ret,med_daily_ret,avg_cum_ret,med_cum_ret
Inclusion,-50,1000,0.0003566050069554097,-0.0012240199882613267,0.03980597268030381,-0.010653133766611256
Inclusion,-49,1003,0.004219771969523883,0.0027096207019728924,0.042312662958763306,-0.006550160146491013
Inclusion,-48,1007,0.00012141554910459311,0.0,0.041895118547282215,-0.012542742444680788
Inclusion,-47,1009,-0.0008805167400958247,-0.0021008883195338113,0.03890501729236373,-0.01639342660450327
Inclusion,-46,1017,0.07403765411406694,0.0,0.03930642463608386,-0.01265829088137238
Inclusion,-45,1026,0.0025186131574198296,0.0,0.038832952934724496,-0.010854464691218313
Inclusion,-44,1028,-0.0007719810751949943,0.0,0.033396897932835366,-0.012439119437036184
Inclusion,-43,1028,-0.00047764387697065867,-0.0015698996438309187,0.03318958992737598,-0.01317032293553383
Inclusion,-42,1031,0.0033564670457503303,0.0,0.03587831468481795,-0.011299424374029976
Inclusion,-41,1031,0.002074437067467323,0.0,0.03774194282768946,-0.009677435563663073
Inclusion,-40,1031,0.0016854600920901347,0.0011560958754741613,0.03869432113128034,-0.006928344919118312
Inclusion,-39,1031,0.00471689704760391,0.0026490040293054573,0.04398452813968282,-0.0066519308837790225
Inclusion,-38,1031,-0.000516020473947099,0.0,0.042125788342393146,-0.0065789411768027994
Inclusion,-37,1031,-0.0014999045454091276,-0.001762020563622957,0.04015235201820082,-0.005972629822401543
Inclusion,-36,1031,-0.006110725400197338,-0.004089975761264686,0.0324757841756221,-0.010356749252885655
Inclusion,-35,1031,0.006234143927634811,0.0028168987598808926,0.039588431741921684,-0.0032786594778033695
Inclusion,-34,1031,-0.0038534209024715916,-0.005729593461405114,0.035413317603674506,-0.008869276421323513
Inclusion,-33,1031,0.0031665179352775444,0.0023865983407980185,0.03596382349955922,-0.0033332594226684886
Inclusion,-32,1031,0.0031624104102968655,0.0,0.03710847552596868,-0.0018831924957504187
Inclusion,-31,1031,0.0013097006713638018,0.0,0.035360425965072384,-0.001858778563032626
Inclusion,-30,1031,-0.006882939726186251,-0.004429674754803825,0.024477671649584455,-0.010092553088618228
Inclusion,-29,1031,-0.005560002919254962,-0.003012045380823114,0.01864020723360905,-0.014150930664724504
Inclusion,-28,1031,-0.004530286584501389,0.0,0.006947617033323657,-0.015765804225056357
Inclusion,-27,1031,0.0014581350124380477,-0.0003714795265042925,0.00778712168988874,-0.016666651213610217
Inclusion,-26,1031,0.0032713047407147713,0.0,0.010241477650009568,-0.014752357707648378
Inclusion,-25,1031,-0.004370954447379283,-0.00588234716633218,0.00592158756194057,-0.024217938931738514
