event_date,ticker_yf,y_inclusion_binary,index,neg_subtype,feature_anchor_date,feature_boundary_calendar,calendar_days_before,close_at_event_anchor,ret_5d_pre,ret_20d_pre,ret_60d_pre,dist_from_60d_high,dist_from_252d_high,volume_at_event_anchor,dollar_volume_at_event_anchor,avg_volume_20d_pre,avg_volume_60d_pre,avg_dollar_volume_20d_pre,avg_dollar_volume_60d_pre,realized_vol_20d_pre,realized_vol_60d_pre,shares_source,market_cap_available,market_cap_is_approx,turnover_available,market_cap_approx,share_turnover_at_event_anchor,year,month,prior_inclusion_count_ticker
2024-09-09,2378.HK,1,Hang Seng Corporate Sustainability Index,,2024-05-10,2024-05-12,120,77.25,0.07366231100149201,0.09886197221250903,-0.0556235071150164,-0.05677657434975247,-0.34865091910725277,97276.0,7514571.0,201068.6,126454.16666666667,14439540.434593964,9366094.256800842,0.01943022053182592,0.019166954619617295,,0,0,0,,,2024,9,0.0
2017-12-04,2382.HK,1,Hang Seng Index,,2017-08-04,2017-08-06,120,92.3499984741211,-0.006989263719128003,0.3491600086403315,0.40349535244670487,-0.06717173258463538,-0.06717173258463538,3842122.0,354819960.8373871,8865304.4,7486097.816666666,791967315.2477474,557963124.3731487,0.04571933150078776,0.033988340851212856,yfinance_info_static_sharesOutstanding,1,1,1,99107229392.47284,0.0035801622445954034,2017,12,0.0
2020-03-09,2382.HK,1,Hang Seng China Enterprises Index,,2019-11-08,2019-11-10,120,130.8000030517578,0.010819236640717378,0.10847460213354077,0.39222998723264024,-0.02169030637754632,-0.02169030637754632,4817379.0,630113187.901474,5263565.2,6933687.533333333,648601288.5250595,789995582.0816,0.021261327487555437,0.02137847483031966,yfinance_info_static_sharesOutstanding,1,1,1,140370613115.05432,0.004488925238112366,2020,3,1.0
2021-09-06,2382.HK,1,Hang Seng Corporate Sustainability Index,,2021-05-07,2021-05-09,120,170.1999969482422,-0.10137274322583056,-0.04435715263637763,-0.19641173514690546,-0.2812500221503744,-0.2812500221503744,14718557.0,2505098356.4825287,5346112.2,6308210.166666667,1001005250.7029183,1204591547.6550086,0.029500945853790223,0.0356061556840516,yfinance_info_static_sharesOutstanding,1,1,1,182653496684.94568,0.013715030929867762,2021,9,2.0
2021-09-06,2386.HK,0,Hang Seng Composite Index,Removal,2021-05-07,2021-05-09,120,5.039999961853027,0.04781705235126821,0.13258430963513268,0.38842969778508496,-0.00982321988918644,-0.00982321988918644,8492597.0,42802688.556033134,6321619.15,8105847.116666666,29853146.34114971,35314594.961298965,0.018923656916721217,0.023663679035246993,,0,0,0,,,2021,9,0.0
2024-09-09,2386.HK,1,Hang Seng Composite Index,,2024-05-10,2024-05-12,120,5.320000171661377,0.03703704736489377,0.14408603495759786,0.30073348977633185,0.0,0.0,7914871.0,42107115.078677654,5090020.85,4901091.433333334,25337106.727849223,22543996.26752495,0.02338352132215898,0.02131350789292807,,0,0,0,,,2024,9,0.0
2025-03-10,2390.HK,0,Hang Seng Composite Index,Removal,2024-11-08,2024-11-10,120,9.100000381469727,-0.02255639405820975,-0.11132806788373151,0.11383112564151232,-0.24166663487752282,-0.4368811591958637,21400.0,194740.00816345215,35330.0,121283.33333333333,332776.8438720703,1262244.1062108676,0.027150643620663384,0.03568399195718298,,0,0,0,,,2025,3,0.0
2021-03-15,2400.HK,0,Hang Seng TECH Index,Removal,2020-11-13,2020-11-15,120,34.0,-0.08724832214765099,-0.10526315789473684,-0.14032868126732834,-0.20467836257309946,-0.27582535788075413,1501800.0,51061200.0,2187477.6,2240213.1166666667,80298291.58880539,87026091.12938519,0.037972604104963836,0.03683771021951663,,0,0,0,,,2021,3,0.0
2025-03-10,2407.HK,0,Hang Seng Composite Index,Removal,2024-11-08,2024-11-10,120,10.800000190734863,0.026615943040625423,0.10316652020605988,-0.052631530515153124,-0.17304748516601998,-0.7293233138417289,2076800.0,22429440.396118164,2738626.95,1416299.1333333333,29214117.583875466,15053444.890970675,0.05935065519099133,0.05887055093332863,,0,0,0,,,2025,3,0.0
2025-03-10,2410.HK,1,Hang Seng Composite Index,,2024-11-08,2024-11-10,120,25.5,0.09677419354838701,-0.20684296143892988,,-0.24778764447743262,-0.24778764447743262,52500.0,1338750.0,122725.0,220624.36363636365,3546349.5270729065,5064572.567929701,0.08663469343091018,0.07784530183184539,,0,0,0,,,2025,3,0.0
2025-06-09,2410.HK,1,Hang Seng Biotech Index,,2025-02-07,2025-02-09,120,22.149999618530273,-0.03695653832477075,-0.4860788769672465,0.11418513851064649,-0.6026905898021475,-0.6026905898021475,20000.0,442999.99237060547,101375.0,128825.81666666667,2104671.766138077,4528950.234370104,0.1371022221021988,0.0969145678297564,,0,0,0,,,2025,6,1.0
2025-03-10,2411.HK,0,Hang Seng Composite Index,Removal,2024-11-08,2024-11-10,120,1.5800000429153442,0.0,-0.01863352243678007,-0.1595744431261672,-0.34439834579062123,-0.7591463328205638,16553000.0,26153740.710377693,19516732.85,12211925.233333332,29540327.161907,20316384.423478883,0.03328242106043699,0.05902935118914116,,0,0,0,,,2025,3,0.0
2024-09-09,2415.HK,0,Hang Seng Composite Index,Removal,2024-05-10,2024-05-12,120,2.549999952316284,-0.06593408992659677,-0.030418311271305787,-0.08273382066205748,-0.22960725184335018,-0.8032407449991887,2403000.0,6127649.885416031,760175.0,880275.0,1942217.2339320183,2522474.0901807942,0.028525544540372646,0.033633853059675,,0,0,0,,,2024,9,0.0
2024-09-09,2416.HK,0,Hang Seng Composite Index,Removal,2024-05-10,2024-05-12,120,3.0399999618530273,-0.028754041309026146,0.006622510282393357,0.016722392025688038,-0.3347921558725311,-0.7847025505317375,16152500.0,49103599.383831024,15667798.0,15551072.033333333,47464148.71571088,51311307.72047003,0.042695598899972105,0.09653916919736596,,0,0,0,,,2024,9,0.0
2024-09-09,2419.HK,1,Hang Seng Composite Index,,2024-05-10,2024-05-12,120,51.04999923706055,-0.013526584791100582,0.008893295978449567,0.12693156946669104,-0.040413561936951226,-0.15689512997029698,65200.0,3328459.9502563477,75910.0,73771.66666666667,3817700.264453888,3625696.325009664,0.02695864695349693,0.03649754522846034,,0,0,0,,,2024,9,0.0
2026-03-09,2423.HK,1,Hang Seng HKEX Stock Connect China Enterprises Index,,2025-11-07,2025-11-09,120,40.880001068115234,-0.07175294690554779,-0.1529216226707798,-0.12274672947001086,-0.2301317845039378,-0.3916666231458129,7895336.0,322761344.11312866,7254719.45,8667813.833333334,328966647.416848,419114158.36337864,0.017693223834377002,0.02342586236368637,,0,0,0,,,2026,3,0.0
2024-03-04,2429.HK,1,Hang Seng Composite Index,,2023-11-03,2023-11-05,120,14.579999923706055,,,,0.0,0.0,4700500.0,68533289.64138031,4700500.0,4700500.0,68533289.64138031,68533289.64138031,,,,0,0,0,,,2024,3,0.0
2024-09-09,2453.HK,1,Hang Seng Composite Index,,2024-05-10,2024-05-12,120,35.20000076293945,0.015872993155563675,0.5337690454364503,1.6035502641367398,-0.0460704794753789,-0.0460704794753789,258200.0,9088640.196990967,198510.0,155939.5,6400885.966148376,3816028.3480793633,0.05925465425778695,0.05666877411702017,,0,0,0,,,2024,9,0.0
2024-09-09,2459.HK,1,Hang Seng Composite Index,,2024-05-10,2024-05-12,120,6.710000038146973,0.8233695425065009,0.9226361088284487,0.8638889488614652,0.0,-0.28692878353315565,1890000.0,12681900.072097778,1384800.0,1514433.3333333333,5848507.506906986,5849493.517442544,0.0814821829218939,0.12236426579046374,,0,0,0,,,2024,9,0.0
2025-03-10,2460.HK,1,Hang Seng Composite Index,,2024-11-08,2024-11-10,120,14.960000038146973,-0.01188905555442521,,,-0.10311752011749631,-0.10311752011749631,2693000.0,40287280.1027298,20665928.153846152,20665928.153846152,331509495.3965932,331509495.3965932,0.03763933526194951,0.03763933526194951,,0,0,0,,,2025,3,0.0
2025-03-10,2487.HK,0,Hang Seng Composite Index,Removal,2024-11-08,2024-11-10,120,9.789999961853027,-0.19357498476202883,-0.24692307985745943,0.2599742581576743,-0.41165863455840757,-0.5706140223926084,1089600.0,10667183.958435059,600420.0,704353.6666666666,7295352.740783691,8478658.301591158,0.03450958223465565,0.049706233832912436,,0,0,0,,,2025,3,0.0
2024-06-11,2498.HK,1,Hang Seng Composite Index,,2024-02-09,2024-02-12,120,35.5,-0.1277641441145736,-0.17441860465116277,,-0.1772885574822256,-0.1772885574822256,0.0,0.0,21450.0,69403.84615384616,912958.4936523438,2977654.4212928186,0.02404137155211044,0.021763872996335462,,0,0,0,,,2024,6,0.0
2024-09-09,2498.HK,1,Hang Seng Stock Connect Greater Bay Area Composite Index,,2024-05-10,2024-05-12,120,39.650001525878906,-0.02579850656948035,-0.04457827648484558,0.11690145143320874,-0.07575757306300968,-0.081112395741189,10000.0,396500.01525878906,6375.0,8306.666666666666,253738.9992904663,328111.6686820984,0.02085872161994138,0.035629468333188044,,0,0,0,,,2024,9,1.0
2020-09-07,2500.HK,1,Hang Seng Composite Index,,2020-05-08,2020-05-10,120,57.29999923706055,0.07303366291650026,0.20125782642711854,0.2402597032644478,-0.02385011086341937,-0.02385011086341937,321600.0,18427679.754638672,646545.05,615023.8333333334,35585196.434464455,29882133.664436404,0.04050864971788934,0.03538723328059764,,0,0,0,,,2020,9,0.0
2025-03-10,2507.HK,1,Hang Seng Composite Index,,2024-11-08,2024-11-10,120,19.399999618530273,0.021052611501593432,-0.09767443634742912,-0.2193159227073267,-0.2347140305090002,-0.31205676972797014,8600.0,166839.99671936035,26309.6,56391.53333333333,511421.4229496002,1165116.7506729127,0.02625610285020506,0.04969151443781676,,0,0,0,,,2025,3,0.0
2025-03-10,2510.HK,1,Hang Seng Composite Index,,2024-11-08,2024-11-10,120,4.179999828338623,0.019512176967531936,,,-0.10107532416978804,-0.10107532416978804,2034000.0,8502119.65084076,10845333.333333334,10845333.333333334,45616584.35289065,45616584.35289065,0.05744956137054516,0.05744956137054516,,0,0,0,,,2025,3,0.0
