date,index,change_type,ticker,ticker_normalized,company,change_type_label,y_inclusion
2025-02-01,Biotech,Inclusion,1302,1302.HK,LifeTech,Inclusion,1
2025-02-01,HSTECH,Inclusion,1698,1698.HK,Tencent Music,Inclusion,1
2025-02-01,HSCEI,Inclusion,2057,2057.HK,ZTO Express,Inclusion,1
2025-02-01,HSCEI,Inclusion,6160,6160.HK,BeiGene,Inclusion,1
2025-02-01,HSTECH,Inclusion,9660,9660.HK,Horizon Robotics,Inclusion,1
2025-02-21,Hang Seng Biotech Index,Inclusion,1302,1302.HK,LifeTech Scientific Corporation,Inclusion,1
2025-02-21,Hang Seng TECH Index,Inclusion,1698,1698.HK,Tencent Music Entertainment Group - SW,Inclusion,1
2025-02-21,HSCEI,Inclusion,2057,2057.HK,ZTO Express (Cayman) Inc. - W,Inclusion,1
2025-02-21,HSCEI,Inclusion,6160,6160.HK,BeiGene Ltd.,Inclusion,1
2025-02-21,Hang Seng TECH Index,Inclusion,9660,9660.HK,Horizon Robotics - W,Inclusion,1
2025-11-01,Stock Connect,Exclusion,2688,2688.HK,ENN Energy,Exclusion,0
2025-11-01,Stock Connect,Exclusion,600025,600025.SH,Huaneng Lancang,Exclusion,0
2025-11-01,Stock Connect,Exclusion,600887,600887.SH,Yili,Exclusion,0
2025-11-01,Stock Connect,Exclusion,6862,6862.HK,Haidilao,Exclusion,0
2025-11-21,HKEX Stock Connect China Enterprises Index,Inclusion,1378,1378.HK,China Hongqiao Group Ltd.,Inclusion,1
2025-11-21,HKEX Stock Connect China Enterprises Index,Inclusion,1801,1801.HK,Innovent Biologics Inc.,Inclusion,1
2025-11-21,HKEX Stock Connect China Enterprises Index,Inclusion,2371,2371.HK,NAURA Technology Group Co. Ltd.,Inclusion,1
2025-11-21,HKEX Stock Connect China Enterprises Index,Exclusion,2688,2688.HK,ENN Energy Holdings Ltd.,Exclusion,0
2025-11-21,HKEX Stock Connect China Enterprises Index,Exclusion,600025,600025.HK,Huaneng Lancang River Hydropower Inc.,Exclusion,0
2025-11-21,HKEX Stock Connect China Enterprises Index,Exclusion,600887,600887.HK,Inner Mongolia Yili Industrial Group Co. Ltd.,Exclusion,0
2025-11-21,HKEX Stock Connect China Enterprises Index,Exclusion,6862,6862.HK,Haidilao International Holding Ltd.,Exclusion,0
2025-11-21,HKEX Stock Connect China Enterprises Index,Inclusion,9987,9987.HK,Yum China Holdings Inc.,Inclusion,1
2026-02-01,Stock Connect,Exclusion,000568,000568.SZ,Luzhou Laojiao,Exclusion,0
2026-02-01,Stock Connect,Exclusion,0291,0291.HK,China Resources Beer,Exclusion,0
2026-02-01,Stock Connect,Exclusion,2319,2319.HK,Mengniu Dairy,Exclusion,0
2026-02-01,Stock Connect,Exclusion,600406,600406.SH,NARI Technology,Exclusion,0
2026-02-13,HKEX Stock Connect China Enterprises Index,Exclusion,2319,2319.HK,China Mengniu Dairy Co. Ltd.,Exclusion,0
2026-02-13,HKEX Stock Connect China Enterprises Index,Inclusion,2423,2423.HK,KE Holdings Inc. - W,Inclusion,1
2026-02-13,HKEX Stock Connect China Enterprises Index,Exclusion,291,291.HK,China Resources Beer (Holdings) Co. Ltd.,Exclusion,0
2026-02-13,HKEX Stock Connect China Enterprises Index,Inclusion,300308,300308.HK,Zhongji Innolight Co. Ltd.,Inclusion,1
2026-02-13,HKEX Stock Connect China Enterprises Index,Exclusion,568,568.HK,Luzhou Laojiao Company Limited,Exclusion,0
2026-02-13,HKEX Stock Connect China Enterprises Index,Exclusion,600406,600406.HK,NARI Technology Co. Ltd.,Exclusion,0
2026-02-13,HKEX Stock Connect China Enterprises Index,Inclusion,601211,601211.HK,Guotai Haitong Securities Co. Ltd.,Inclusion,1
2026-02-13,HKEX Stock Connect China Enterprises Index,Inclusion,9660,9660.HK,Horizon Robotics - W,Inclusion,1
