date,index,change_type,ticker,ticker_normalized,company
9/4/17,Hang Seng China A Industry Top Index,Inclusion,600309,600309.SH,"Wanhua Chemical Group Co., Ltd."
9/4/17,Hang Seng China A Industry Top Index,Inclusion,600547,600547.SH,"Shandong Gold Mining Co., Ltd."
9/4/17,Hang Seng China A Industry Top Index,Inclusion,600637,600637.SH,"Shanghai Oriental Pearl Media Co., Ltd."
9/4/17,Hang Seng China A Industry Top Index,Inclusion,601225,601225.SH,Shaanxi Coal Industry Company Limited
9/4/17,Hang Seng China A Top 100 Index,Exclusion,000039,000039.SZ,"China International Marine Containers (Group) Co., Ltd."
9/4/17,Hang Seng China A Top 100 Index,Exclusion,000063,000063.SZ,ZTE Corporation
9/4/17,Hang Seng China A Top 100 Index,Exclusion,600583,600583.SH,"Offshore Oil Engineering Co., Ltd."
9/4/17,Hang Seng China A Top 100 Index,Exclusion,600600,600600.SH,Tsingtao Brewery Co. Ltd.
9/4/17,Hang Seng China A Top 100 Index,Exclusion,601727,601727.SH,Shanghai Electric Group Company Limited
9/4/17,Hang Seng China A Top 100 Index,Exclusion,601808,601808.SH,China Oilfield Services Limited
9/4/17,Hang Seng China A Top 100 Index,Exclusion,601991,601991.SH,"Datang International Power Generation Co., Ltd."
9/4/17,Hang Seng China A Top 100 Index,Inclusion,002352,002352.SZ,"S.F. Holding Co., Ltd."
9/4/17,Hang Seng China A Top 100 Index,Inclusion,600068,600068.SH,China Gezhouba Group Company Limited
9/4/17,Hang Seng China A Top 100 Index,Inclusion,600297,600297.SH,"China Grand Automotive Services Co., Ltd."
9/4/17,Hang Seng China A Top 100 Index,Inclusion,600688,600688.SH,Sinopec Shanghai Petrochemical Company Limited
9/4/17,Hang Seng China A Top 100 Index,Inclusion,600919,600919.SH,"Bank of Jiangsu Co., Ltd."
9/4/17,Hang Seng China A Top 100 Index,Inclusion,601229,601229.SH,"Bank of Shanghai Co., Ltd."
9/4/17,Hang Seng China A Top 100 Index,Inclusion,601881,601881.SH,"China Galaxy Securities Co., Ltd."
9/4/17,Hang Seng China AH Index Series,Exclusion,1033 / 600871,1033.HK / 600871.SH,Sinopec Oilfield Service Corporation
9/4/17,Hang Seng China AH Index Series,Exclusion,3958 / 600958,3958.HK / 600958.SH,DFZQ
9/4/17,Hang Seng China AH Index Series,Exclusion,6178 / 601788,6178.HK / 601788.SH,Everbright Securities Co. Ltd.
9/4/17,Hang Seng China AH Index Series,Inclusion,168 / 600600,0168.HK / 600600.SH,Tsingtao Brewery Co. Ltd.
9/4/17,Hang Seng China AH Index Series,Inclusion,177 / 600377,0177.HK / 600377.SH,Jiangsu Expressway Co. Ltd.
9/4/17,Hang Seng China AH Index Series,Inclusion,323 / 600808,0323.HK / 600808.SH,Maanshan Iron & Steel Co. Ltd.
9/4/17,Hang Seng China AH Index Series,Inclusion,548 / 600548,0548.HK / 600548.SH,Shenzhen Expressway Co. Ltd.
9/4/17,Hang Seng China AH Index Series,Inclusion,921 / 000921,0921.HK / 000921.SZ,Hisense Kelon Electrical Holdings Co. Ltd.
9/4/17,Hang Seng China AH Index Series,Inclusion,991 / 601991,0991.HK / 601991.SH,"Datang International Power Generation Co., Ltd."
9/4/17,Hang Seng China AH Index Series,Inclusion,1065 / 600874,1065.HK / 600874.SH,Tianjin Capital Environmental Protection Group Co. Ltd.
9/4/17,Hang Seng China AH Index Series,Inclusion,1138 / 600026,1138.HK / 600026.SH,"COSCO SHIPPING Energy Transportation Co., Ltd."
9/4/17,Hang Seng China AH Index Series,Inclusion,1812 / 000488,1812.HK / 000488.SZ,Shandong Chenming Paper Holdings Ltd.
9/4/17,Hang Seng China AH Index Series,Inclusion,2039 / 000039,2039.HK / 000039.SZ,"China Int'l Marine Containers (Group) Co., Ltd."
9/4/17,Hang Seng China AH Index Series,Inclusion,2238 / 601238,2238.HK / 601238.SH,"Guangzhou Automobile Group Co., Ltd."
9/4/17,Hang Seng China AH Index Series,Inclusion,2611 / 601211,2611.HK / 601211.SH,"Guotai Junan Securities Co., Ltd."
9/4/17,Hang Seng China AH Index Series,Inclusion,2883 / 601808,2883.HK / 601808.SH,China Oilfield Services Ltd.
9/4/17,Hang Seng China AH Index Series,Inclusion,6881 / 601881,6881.HK / 601881.SH,"China Galaxy Securities Co., Ltd."
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,245,0245.HK,China Minsheng Financial Holding Corporation Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,297,0297.HK,Sinofert Holdings Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,933,0933.HK,Brightoil Petroleum (Holdings) Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,991,0991.HK,"Datang International Power Generation Co., Ltd. - H Shares"
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1230,1230.HK,Yashili International Holdings Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1387,1387.HK,Renhe Commercial Holdings Co. Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,2298,2298.HK,Cosmo Lady (China) Holdings Co. Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,2877,2877.HK,China Shineway Pharmaceutical Group Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,3308,3308.HK,Golden Eagle Retail Group Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Exclusion,3823,3823.HK,Tech Pro Technology Development Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,43,0043.HK,C. P. Pokphand Co. Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,136,0136.HK,HengTen Networks Group Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,698,0698.HK,Tongda Group Holdings Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1031,1031.HK,Kingston Financial Group Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1212,1212.HK,Lifestyle International Holdings Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1515,1515.HK,China Resources Phoenix Healthcare Holdings Co. Ltd.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2269,2269.HK,WuXi Biologics (Cayman) Inc.
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2611,2611.HK,"Guotai Junan Securities Co., Ltd. - H Shares"
