证券代码,中文简称,英文简称,code_num,ticker_yf
1164,中广核矿业,CGN MINING,1164,1164.HK
1171,兖矿能源,YANKUANG ENERGY,1171,1171.HK
1177,中国生物制药,SINO BIOPHARM,1177,1177.HK
1186,中国铁建,CHINA RAIL CONS,1186,1186.HK
1193,华润燃气,CHINA RES GAS,1193,1193.HK
1196,伟禄集团,REALORD GROUP,1196,1196.HK
1199,中远海运港口,COSCO SHIP PORT,1199,1199.HK
1208,五矿资源,MMG,1208,1208.HK
1209,华润万象生活,CHINA RES MIXC,1209,1209.HK
1211,比亚迪股份,BYD COMPANY,1211,1211.HK
1258,中国有色矿业,CHINFMINING,1258,1258.HK
1276,恒瑞医药,HENGRUI PHARMA,1276,1276.HK
1277,力量发展,KINETIC DEV,1277,1277.HK
1288,农业银行,ABC,1288,1288.HK
1299,友邦保险,AIA,1299,1299.HK
1302,先健科技,LIFETECH SCI,1302,1302.HK
1304,,FORTIOR,1304,1304.HK
1308,海丰国际,SITC,1308,1308.HK
1310,香港宽频,HKBN,1310,1310.HK
1313,华润建材科技,CR BLDG MAT TEC,1313,1313.HK
1316,耐世特,NEXTEER,1316,1316.HK
1318,毛戈平,MAO GEPING,1318,1318.HK
1330,绿色动力环保,DYNAGREEN ENV,1330,1330.HK
1333,博雷顿,BRETON,1333,1333.HK
1336,新华保险,NCI,1336,1336.HK
1339,中国人民保险集团,PICC GROUP,1339,1339.HK
1347,华虹半导体,HUA HONG SEMI,1347,1347.HK
1349,复旦张江,FUDANZHANGJIANG,1349,1349.HK
1357,美图公司,MEITU,1357,1357.HK
1359,中国信达,CHINA CINDA,1359,1359.HK
1361,３６１度,361 DEGREES,1361,1361.HK
1364,古茗,GUMING,1364,1364.HK
1368,特步国际,XTEP INT'L,1368,1368.HK
1375,中州证券,CC SECURITIES,1375,1375.HK
1378,中国宏桥,CHINAHONGQIAO,1378,1378.HK
1384,滴普科技,DEEPEXI TECH,1384,1384.HK
1385,上海复旦,SHANGHAI FUDAN,1385,1385.HK
1398,工商银行,ICBC,1398,1398.HK
1405,达势股份,DPC DASH,1405,1405.HK
1415,高伟电子,COWELL,1415,1415.HK
1428,耀才证券金融,BRIGHT SMART,1428,1428.HK
1448,福寿园,FU SHOU YUAN,1448,1448.HK
1456,国联民生,GLMS SEC,1456,1456.HK
1475,日清食品,NISSIN FOODS,1475,1475.HK
1478,丘钛科技,Q TECH,1478,1478.HK
1513,丽珠医药,LIVZON PHARMA,1513,1513.HK
1519,极兔速递－Ｗ,J&T EXPRESS-W,1519,1519.HK
1528,红星美凯龙,RS MACALLINE,1528,1528.HK
1530,三生制药,3SBIO,1530,1530.HK
1548,金斯瑞生物科技,GENSCRIPT BIO,1548,1548.HK
1579,颐海国际,YIHAI INTL,1579,1579.HK
1585,雅迪控股,YADEA,1585,1585.HK
1610,中粮家佳康,COFCO JOYCOME,1610,1610.HK
1618,中国中冶,MCC,1618,1618.HK
1635,大众公用,DZUG,1635,1635.HK
1658,邮储银行,PSBC,1658,1658.HK
1675,亚信科技,ASIAINFO TECH,1675,1675.HK
1681,康臣药业,CONSUN PHARMA,1681,1681.HK
1686,新意网集团,SUNEVISION,1686,1686.HK
1691,ＪＳ环球生活,JS GLOBAL LIFE,1691,1691.HK
1729,汇聚科技,TIME INTERCON,1729,1729.HK
1735,中环新能源,CENTRAL NEW EGY,1735,1735.HK
1766,中国中车,CRRC,1766,1766.HK
1772,赣锋锂业,GANFENGLITHIUM,1772,1772.HK
1773,天立国际控股,TIANLI INT HLDG,1773,1773.HK
1776,广发证券,GF SEC,1776,1776.HK
1783,晋景新能,ENVISION GREEN,1783,1783.HK
1787,山东黄金,SD GOLD,1787,1787.HK
1788,国泰君安国际,GUOTAI JUNAN I,1788,1788.HK
1789,爱康医疗,AK MEDICAL,1789,1789.HK
1797,东方甄选,EAST BUY,1797,1797.HK
1800,中国交通建设,CHINA COMM CONS,1800,1800.HK
1801,信达生物,INNOVENT BIO,1801,1801.HK
1810,小米集团－Ｗ,XIAOMI-W,1810,1810.HK
1811,中广核新能源,CGN NEW ENERGY,1811,1811.HK
1816,中广核电力,CGN POWER,1816,1816.HK
1818,招金矿业,ZHAOJIN MINING,1818,1818.HK
1828,富卫集团,FWD,1828,1828.HK
1833,平安好医生,PA GOODDOCTOR,1833,1833.HK
1836,九兴控股,STELLA HOLDINGS,1836,1836.HK
1858,春立医疗,CHUNLI MEDICAL,1858,1858.HK
1860,汇量科技,MOBVISTA,1860,1860.HK
1876,百威亚太,BUD APAC,1876,1876.HK
1877,君实生物,JUNSHI BIO,1877,1877.HK
1880,中国中免,CTG DUTY-FREE,1880,1880.HK
1882,海天国际,HAITIAN INT'L,1882,1882.HK
1883,中信国际电讯,CITIC TELECOM,1883,1883.HK
1888,建滔积层板,KB LAMINATES,1888,1888.HK
1896,猫眼娱乐,MAOYAN ENT,1896,1896.HK
1898,中煤能源,CHINA COAL,1898,1898.HK
1907,中国旭阳集团,CHINA RISUN GP,1907,1907.HK
1908,建发国际集团,C&D INTL GROUP,1908,1908.HK
1910,新秀丽,SAMSONITE,1910,1910.HK
1918,融创中国,SUNAC,1918,1918.HK
1919,中远海控,COSCO SHIP HOLD,1919,1919.HK
1921,达力普控股,DALIPAL HLDG,1921,1921.HK
1928,金沙中国有限公司,SANDS CHINA LTD,1928,1928.HK
1929,周大福,CHOW TAI FOOK,1929,1929.HK
1951,锦欣生殖,JXR,1951,1951.HK
1952,云顶新耀,EVEREST MED,1952,1952.HK
1963,重庆银行,BCQ,1963,1963.HK
1972,太古地产,SWIREPROPERTIES,1972,1972.HK
1988,民生银行,MINSHENG BANK,1988,1988.HK
1997,九龙仓置业,WHARF REIC,1997,1997.HK
1999,敏华控股,MAN WAH HLDGS,1999,1999.HK
2005,石四药集团,SSY GROUP,2005,2005.HK
2007,碧桂园,COUNTRY GARDEN,2007,2007.HK
2009,金隅集团,BBMG,2009,2009.HK
2013,微盟集团,WEIMOB INC,2013,2013.HK
2015,理想汽车－Ｗ,LI AUTO-W,2015,2015.HK
2016,浙商银行,CZBANK,2016,2016.HK
2018,瑞声科技,AAC TECH,2018,2018.HK
2020,安踏体育,ANTA SPORTS,2020,2020.HK
2038,富智康集团,FIH,2038,2038.HK
2039,中集集团,CIMC,2039,2039.HK
