证券代码,中文简称,英文简称,code_num,ticker_yf
3898,时代电气,TIMES ELECTRIC,3898,3898.HK
3899,中集安瑞科,CIMC ENRIC,3899,3899.HK
3900,绿城中国,GREENTOWN CHINA,3900,3900.HK
3908,中金公司,CICC,3908,3908.HK
3918,金界控股,NAGACORP,3918,3918.HK
3931,中创新航,CALB,3931,3931.HK
3933,联邦制药,UNITED LAB,3933,3933.HK
3939,万国黄金集团,WANGUO GOLD GP,3939,3939.HK
3958,东方证券,DFZQ,3958,3958.HK
3968,招商银行,CM BANK,3968,3968.HK
3969,中国通号,CHINA CRSC,3969,3969.HK
3986,兆易创新,GIGADEVICE,3986,3986.HK
3988,中国银行,BANK OF CHINA,3988,3988.HK
3993,洛阳钼业,CMOC,3993,3993.HK
3996,中国能源建设,CH ENERGY ENG,3996,3996.HK
3998,波司登,BOSIDENG,3998,3998.HK
6030,中信证券,CITIC SEC,6030,6030.HK
6031,三一重工,SANY HEAVY IND,6031,6031.HK
6049,保利物业,POLY PPT SER,6049,6049.HK
6055,中烟香港,CTIHK,6055,6055.HK
6060,众安在线,ZA ONLINE,6060,6060.HK
6066,中信建投证券,CSC,6066,6066.HK
6069,盛业,SY HOLDINGS,6069,6069.HK
6078,海吉亚医疗,HYGEIA HEALTH,6078,6078.HK
6088,,FIT HON TENG,6088,6088.HK
6090,不同集团,BUTONG GROUP,6090,6090.HK
6098,碧桂园服务,CG SERVICES,6098,6098.HK
6099,招商证券,CMSC,6099,6099.HK
6110,滔搏,TOPSPORTS,6110,6110.HK
6127,昭衍新药,JOINN,6127,6127.HK
6160,百济神州,BEONE MEDICINES,6160,6160.HK
6166,剑桥科技,CIG,6166,6166.HK
6168,周六福,ZHOU LIU FU,6168,6168.HK
6178,光大证券,EB SECURITIES,6178,6178.HK
6181,老铺黄金,LAOPU GOLD,6181,6181.HK
6185,康希诺生物,CANSINOBIO,6185,6185.HK
6186,中国飞鹤,CHINA FEIHE,6186,6186.HK
6196,郑州银行,BANKOFZHENGZHOU,6196,6196.HK
6198,青岛港,QINGDAO PORT,6198,6198.HK
6600,卧安机器人,ONEROBOTICS,6600,6600.HK
6603,,IFBH,6603,6603.HK
6613,蓝思科技,LENS,6613,6613.HK
6618,京东健康,JD HEALTH,6618,6618.HK
6651,五一视界,51WORLD,6651,6651.HK
6655,华新建材,HX BLDG MAT,6655,6655.HK
6666,恒大物业,EVERG SERVICES,6666,6666.HK
6680,金力永磁,JLMAG,6680,6680.HK
6681,脑动极光－Ｂ,BRAINAURORA-B,6681,6681.HK
6682,范式智能,PHANCY,6682,6682.HK
6683,巨星传奇,STARPLUS LEGEND,6683,6683.HK
6687,聚水潭,JST GROUP,6687,6687.HK
6690,海尔智家,HAIER SMARTHOME,6690,6690.HK
6693,赤峰黄金,CHIFENG GOLD,6693,6693.HK
6699,时代天使,ANGELALIGN,6699,6699.HK
6806,申万宏源,SWHY,6806,6806.HK
6808,高鑫零售,SUNART RETAIL,6808,6808.HK
6809,澜起科技,MONTAGE TECH,6809,6809.HK
6818,中国光大银行,CEB BANK,6818,6818.HK
6821,凯莱英,ASYMCHEM,6821,6821.HK
6826,昊海生物科技,HAOHAI BIOTEC,6826,6826.HK
6855,亚盛医药－Ｂ,ASCENTAGE-B,6855,6855.HK
6862,海底捞,HAIDILAO,6862,6862.HK
6865,福莱特玻璃,FLAT GLASS,6865,6865.HK
6869,长飞光纤光缆,YOFC,6869,6869.HK
6881,中国银河,CGS,6881,6881.HK
6886,,HTSC,6886,6886.HK
6936,顺丰控股,SF HOLDING,6936,6936.HK
6955,博安生物,BOAN BIOTECH,6955,6955.HK
6963,阳光保险,SUNSHINE INS,6963,6963.HK
6969,思摩尔国际,SMOORE INTL,6969,6969.HK
6979,珍酒李渡,ZJLD,6979,6979.HK
6990,科伦博泰生物－Ｂ,SKB BIO-B,6990,6990.HK
6993,蓝月亮集团,BLUE MOON GROUP,6993,6993.HK
7618,京东工业,JD INDUSTRIALS,7618,7618.HK
9606,映恩生物－Ｂ,DUALITYBIO-B,9606,9606.HK
9611,龙旗科技,LONGCHEER,9611,9611.HK
9626,哔哩哔哩－Ｗ,BILIBILI-W,9626,9626.HK
9633,农夫山泉,NONGFU SPRING,9633,9633.HK
9636,九方智投控股,JF SMARTINVEST,9636,9636.HK
9658,特海国际,SUPER HI,9658,9658.HK
9660,地平线机器人－Ｗ,HORIZONROBOT-W,9660,9660.HK
9678,云知声,UNISOUND,9678,9678.HK
9688,再鼎医药,ZAI LAB,9688,9688.HK
9690,途虎－Ｗ,TUHU-W,9690,9690.HK
9696,天齐锂业,TIANQI LITHIUM,9696,9696.HK
9699,顺丰同城,SF INTRA-CITY,9699,9699.HK
9858,优然牧业,YOURAN DAIRY,9858,9858.HK
9863,零跑汽车,LEAPMOTOR,9863,9863.HK
9868,小鹏汽车－Ｗ,XPENG-W,9868,9868.HK
9880,优必选,UBTECH ROBOTICS,9880,9880.HK
9887,维立志博－Ｂ,LEADS BIOLABS-B,9887,9887.HK
9890,贪玩,TANWAN,9890,9890.HK
9896,名创优品,MNSO,9896,9896.HK
9899,网易云音乐,NETEASE MUSIC,9899,9899.HK
9911,赤子城科技,NEWBORNTOWN,9911,9911.HK
9926,康方生物,AKESO,9926,9926.HK
9927,赛力斯,SERES,9927,9927.HK
9969,诺诚健华,INNOCARE,9969,9969.HK
9973,奇瑞汽车,CHERY AUTO,9973,9973.HK
9980,东鹏饮料,EASTROC,9980,9980.HK
9981,沃尔核材,WOER,9981,9981.HK
9985,卫龙美味,WL DELICIOUS,9985,9985.HK
9987,百胜中国,YUM CHINA,9987,9987.HK
9988,阿里巴巴－Ｗ,BABA-W,9988,9988.HK
9989,海普瑞,HEPALINK,9989,9989.HK
9992,泡泡玛特,POP MART,9992,9992.HK
9993,金辉控股,RADIANCE HLDGS,9993,9993.HK
9995,荣昌生物,REMEGEN,9995,9995.HK
