ticker_yf,sources
1060.HK,eligible
1065.HK,eligible
1066.HK,eligible
1070.HK,eligible
1071.HK,eligible
1072.HK,eligible
1083.HK,eligible
1088.HK,eligible
1093.HK,eligible
1099.HK,eligible
1108.HK,eligible
1109.HK,eligible
1112.HK,eligible
1113.HK,eligible
1114.HK,eligible
1117.HK,eligible
1128.HK,eligible
1138.HK,eligible
1157.HK,eligible
1164.HK,eligible
1171.HK,eligible
1177.HK,"eligible,event"
1186.HK,eligible
1193.HK,eligible
1196.HK,eligible
1199.HK,eligible
1208.HK,eligible
1209.HK,eligible
1211.HK,eligible
1258.HK,eligible
1276.HK,eligible
1277.HK,eligible
1288.HK,eligible
1299.HK,eligible
1302.HK,"eligible,event"
1304.HK,eligible
1308.HK,eligible
1310.HK,eligible
1313.HK,eligible
1316.HK,eligible
1318.HK,eligible
1330.HK,eligible
1333.HK,eligible
1336.HK,eligible
1339.HK,eligible
1347.HK,eligible
1349.HK,eligible
1357.HK,eligible
1359.HK,eligible
1361.HK,eligible
1364.HK,eligible
1368.HK,eligible
1375.HK,eligible
1378.HK,"eligible,event"
1384.HK,eligible
1385.HK,eligible
1398.HK,eligible
1405.HK,eligible
1415.HK,eligible
1428.HK,eligible
1448.HK,eligible
1456.HK,eligible
1475.HK,eligible
1478.HK,eligible
1513.HK,eligible
1519.HK,"eligible,event"
1528.HK,eligible
1530.HK,eligible
1541.HK,event
1548.HK,eligible
1579.HK,eligible
1585.HK,eligible
1610.HK,eligible
1618.HK,eligible
1635.HK,eligible
1658.HK,eligible
1675.HK,eligible
1681.HK,eligible
1686.HK,eligible
1691.HK,eligible
1698.HK,event
1729.HK,eligible
1735.HK,eligible
1766.HK,eligible
1772.HK,eligible
1773.HK,eligible
1776.HK,eligible
1783.HK,eligible
1787.HK,eligible
1788.HK,eligible
1789.HK,eligible
1797.HK,"eligible,event"
1800.HK,eligible
1801.HK,"eligible,event"
1810.HK,eligible
1811.HK,eligible
1816.HK,eligible
1818.HK,eligible
1828.HK,eligible
1833.HK,eligible
1836.HK,eligible
1858.HK,eligible
1860.HK,eligible
1876.HK,eligible
1877.HK,eligible
1880.HK,eligible
1882.HK,eligible
1883.HK,eligible
1888.HK,eligible
1896.HK,eligible
1898.HK,eligible
1907.HK,eligible
1908.HK,eligible
1910.HK,eligible
1918.HK,eligible
1919.HK,eligible
1921.HK,eligible
1928.HK,eligible
1929.HK,eligible
1951.HK,eligible
1952.HK,eligible
1963.HK,eligible
1972.HK,eligible
1988.HK,eligible
1997.HK,eligible
1999.HK,eligible
2005.HK,eligible
2007.HK,eligible
2009.HK,eligible
2013.HK,eligible
2015.HK,eligible
2016.HK,eligible
2018.HK,eligible
2020.HK,eligible
2038.HK,eligible
2039.HK,eligible
2050.HK,eligible
2057.HK,"eligible,event"
2068.HK,eligible
2096.HK,eligible
2097.HK,eligible
2099.HK,eligible
2128.HK,eligible
2145.HK,eligible
2155.HK,eligible
2157.HK,eligible
2158.HK,eligible
2162.HK,eligible
2171.HK,eligible
2172.HK,eligible
2186.HK,eligible
2192.HK,eligible
2196.HK,eligible
2202.HK,eligible
2208.HK,eligible
2218.HK,eligible
2228.HK,eligible
2232.HK,eligible
2233.HK,eligible
2238.HK,eligible
2252.HK,eligible
2255.HK,eligible
2259.HK,eligible
2268.HK,eligible
2269.HK,eligible
2273.HK,eligible
2276.HK,eligible
2282.HK,eligible
2285.HK,eligible
2291.HK,eligible
2313.HK,eligible
2314.HK,eligible
2315.HK,eligible
2318.HK,eligible
2319.HK,"eligible,event"
2328.HK,"eligible,event"
2331.HK,"eligible,event"
2333.HK,eligible
2338.HK,eligible
2343.HK,eligible
2356.HK,eligible
2357.HK,eligible
2359.HK,eligible
2367.HK,eligible
2371.HK,event
2378.HK,eligible
2380.HK,eligible
2382.HK,eligible
2386.HK,eligible
2388.HK,eligible
2400.HK,eligible
2402.HK,eligible
2410.HK,eligible
2419.HK,eligible
2423.HK,"eligible,event"
2431.HK,eligible
2432.HK,eligible
2460.HK,eligible
2465.HK,eligible
2473.HK,eligible
2477.HK,eligible
2498.HK,eligible
2506.HK,eligible
2507.HK,eligible
2510.HK,eligible
2517.HK,eligible
2533.HK,eligible
2555.HK,eligible
2556.HK,eligible
2562.HK,eligible
2565.HK,eligible
2570.HK,eligible
2575.HK,eligible
2577.HK,eligible
2579.HK,eligible
2580.HK,eligible
2582.HK,eligible
2583.HK,eligible
2586.HK,eligible
2587.HK,eligible
2588.HK,eligible
2589.HK,eligible
2590.HK,eligible
2591.HK,eligible
2595.HK,eligible
2600.HK,eligible
2601.HK,eligible
2602.HK,eligible
2603.HK,eligible
2607.HK,eligible
2609.HK,eligible
2610.HK,eligible
2611.HK,eligible
2617.HK,eligible
2618.HK,"eligible,event"
2627.HK,eligible
2628.HK,eligible
2629.HK,eligible
2631.HK,eligible
2637.HK,eligible
2643.HK,eligible
2648.HK,eligible
2652.HK,eligible
2655.HK,eligible
2656.HK,eligible
2659.HK,eligible
2661.HK,eligible
2665.HK,eligible
2666.HK,eligible
2669.HK,eligible
2676.HK,eligible
2685.HK,eligible
2687.HK,eligible
2688.HK,"eligible,event"
2689.HK,eligible
2691.HK,eligible
2692.HK,eligible
2698.HK,eligible
2714.HK,eligible
2727.HK,eligible
2768.HK,eligible
2788.HK,eligible
2799.HK,eligible
2800.HK,eligible
2801.HK,eligible
2825.HK,eligible
2828.HK,eligible
2837.HK,eligible
2858.HK,eligible
2865.HK,eligible
2866.HK,eligible
2869.HK,eligible
2877.HK,eligible
2880.HK,eligible
2883.HK,eligible
2888.HK,eligible
2889.HK,eligible
2899.HK,"eligible,event"
300015.SZ,event
300308.HK,event
3032.HK,eligible
3033.HK,eligible
3037.HK,eligible
3039.HK,eligible
3040.HK,eligible
3067.HK,eligible
3069.HK,eligible
3070.HK,eligible
3088.HK,eligible
3110.HK,eligible
3115.HK,eligible
3167.HK,eligible
3174.HK,eligible
3200.HK,eligible
3268.HK,eligible
3288.HK,eligible
3306.HK,eligible
3311.HK,eligible
3317.HK,eligible
3320.HK,eligible
3323.HK,eligible
3328.HK,eligible
3330.HK,eligible
3339.HK,eligible
3347.HK,eligible
3360.HK,eligible
3369.HK,eligible
3380.HK,eligible
3393.HK,eligible
3396.HK,eligible
3403.HK,eligible
3423.HK,eligible
3432.HK,eligible
3441.HK,eligible
3442.HK,eligible
3606.HK,eligible
3613.HK,eligible
3618.HK,eligible
3633.HK,eligible
3650.HK,event
3668.HK,eligible
3677.HK,eligible
3678.HK,eligible
3690.HK,eligible
3692.HK,eligible
3696.HK,eligible
3698.HK,eligible
3738.HK,eligible
3750.HK,eligible
3759.HK,eligible
3800.HK,eligible
3808.HK,eligible
3858.HK,eligible
3866.HK,eligible
3868.HK,eligible
3877.HK,eligible
3888.HK,eligible
3896.HK,eligible
3898.HK,eligible
3899.HK,eligible
3900.HK,eligible
3908.HK,eligible
3918.HK,eligible
3931.HK,eligible
3933.HK,"eligible,event"
3939.HK,eligible
3958.HK,eligible
3968.HK,eligible
3969.HK,eligible
3986.HK,eligible
3988.HK,eligible
3993.HK,eligible
3996.HK,eligible
3998.HK,eligible
600025.HK,event
600025.SS,event
600406.HK,event
600406.SS,event
600438.SS,event
600887.HK,event
600887.SS,event
601211.HK,event
601225.SS,event
601319.SS,event
601633.SS,event
601899.SS,event
601998.SS,event
6030.HK,eligible
6031.HK,eligible
6049.HK,eligible
6055.HK,eligible
6060.HK,"eligible,event"
6066.HK,eligible
6069.HK,eligible
6078.HK,eligible
6088.HK,eligible
6090.HK,eligible
6098.HK,"eligible,event"
6099.HK,eligible
6110.HK,eligible
6127.HK,eligible
6160.HK,"eligible,event"
6166.HK,eligible
6168.HK,eligible
6178.HK,eligible
6181.HK,eligible
6185.HK,eligible
6186.HK,eligible
6196.HK,eligible
6198.HK,eligible
6600.HK,eligible
6603.HK,eligible
6613.HK,eligible
6618.HK,eligible
6651.HK,eligible
6655.HK,eligible
6666.HK,eligible
6680.HK,eligible
6681.HK,eligible
6682.HK,eligible
6683.HK,eligible
6687.HK,eligible
6690.HK,eligible
6693.HK,eligible
6699.HK,eligible
6806.HK,eligible
6808.HK,eligible
6809.HK,eligible
6818.HK,eligible
6821.HK,eligible
6826.HK,eligible
6855.HK,eligible
6862.HK,"eligible,event"
6865.HK,eligible
6869.HK,eligible
6881.HK,eligible
6886.HK,eligible
6929.HK,event
6936.HK,eligible
6955.HK,eligible
6963.HK,eligible
6969.HK,eligible
6979.HK,eligible
6990.HK,eligible
6993.HK,eligible
7618.HK,eligible
9606.HK,eligible
9611.HK,eligible
9626.HK,eligible
9633.HK,eligible
9636.HK,eligible
9658.HK,eligible
9660.HK,"eligible,event"
9678.HK,eligible
9688.HK,eligible
9690.HK,"eligible,event"
9696.HK,eligible
9698.HK,event
9699.HK,eligible
9858.HK,eligible
9863.HK,eligible
9868.HK,eligible
9880.HK,eligible
9885.HK,event
9887.HK,eligible
9890.HK,eligible
9896.HK,eligible
9898.HK,event
9899.HK,eligible
9901.HK,event
9911.HK,eligible
9926.HK,eligible
9927.HK,eligible
9955.HK,event
9969.HK,eligible
9973.HK,eligible
9980.HK,eligible
9981.HK,eligible
9985.HK,eligible
9987.HK,"eligible,event"
9988.HK,eligible
9989.HK,eligible
9992.HK,eligible
9993.HK,eligible
9995.HK,eligible
