date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf,y_enter_stock_connect,asof_date,fundamentals_available,revenue_ttm_asof,net_income_ttm_asof,ocf_ttm_asof,roe_asof,roa_asof,rev_ttm_qoq_trend,ni_ttm_qoq_trend,ocf_ttm_qoq_trend,fundamental_staleness_days
2018-09-10,Hang Seng Stock Connect China AH Index Series,Inclusion,1528 / 601828,1528.HK / 601828.SH,Red Star Macalline Group Corporation Ltd.,459,Inclusion,Hang Seng Stock Connect China AH Index Series,unchanged,1,1,1528.HK,1528.HK,parse_ok,1528.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1548,1548.HK,Genscript Biotech Corporation,384,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1548.HK,1548.HK,parse_ok,1548.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1658,1658.HK,"Postal Savings Bank of China Co., Ltd. - H Shares",438,Inclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,1658.HK,1658.HK,parse_ok,1658.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1680,1680.HK,Macau Legend Development Ltd.,374,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1680.HK,1680.HK,parse_ok,1680.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1686,1686.HK,SUNeVision Holdings Ltd.,439,Inclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,1686.HK,1686.HK,parse_ok,1686.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1728,1728.HK,China ZhengTong Auto Services Holdings Ltd.,385,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1728.HK,1728.HK,parse_ok,1728.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1833,1833.HK,Ping An Healthcare and Technology Co. Ltd.,386,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1833.HK,1833.HK,parse_ok,1833.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1910,1910.HK,Samsonite International S.A. - F,387,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1910.HK,1910.HK,parse_ok,1910.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1913,1913.HK,Prada S.P.A. - F,388,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1913.HK,1913.HK,parse_ok,1913.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1970,1970.HK,"IMAX China Holding, Inc.",375,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1970.HK,1970.HK,parse_ok,1970.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,2039,2039.HK,"China Int'l Marine Containers (Group) Co., Ltd. - H Shares",410,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,2039.HK,2039.HK,parse_ok,2039.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,2196,2196.HK,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd. - H Shares",411,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,2196.HK,2196.HK,parse_ok,2196.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,2282,2282.HK,MGM China Holdings Ltd.,412,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,2282.HK,2282.HK,parse_ok,2282.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Index,Inclusion,2313,2313.HK,Shenzhou International Group Holdings Ltd.,457,Inclusion,Hang Seng Index,unchanged,1,1,2313.HK,2313.HK,parse_ok,2313.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,2331,2331.HK,Li Ning Co. Ltd.,413,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,2331.HK,2331.HK,parse_ok,2331.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,2342,2342.HK,Comba Telecom Systems Holdings Ltd.,414,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,2342.HK,2342.HK,parse_ok,2342.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,2628,2628.HK,China Life Insurance Co. Ltd. - H Shares,415,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,2628.HK,2628.HK,parse_ok,2628.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2638,2638.HK,HK Electric Investments and HK Electric Investments Ltd. - SS,389,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,2638.HK,2638.HK,parse_ok,2638.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Exclusion,2727,2727.HK,Shanghai Electric Group Co. Ltd. - H Shares,376,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,2727.HK,2727.HK,parse_ok,2727.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2768,2768.HK,Jiayuan International Group Ltd.,390,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,2768.HK,2768.HK,parse_ok,2768.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,3320,3320.HK,China Resources Pharmaceutical Group Ltd.,440,Inclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,3320.HK,3320.HK,parse_ok,3320.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,3328,3328.HK,"Bank of Communications Co., Ltd. - H Shares",416,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,3328.HK,3328.HK,parse_ok,3328.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,3331,3331.HK,Vinda International Holdings Ltd.,417,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,3331.HK,3331.HK,parse_ok,3331.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,3618,3618.HK,"Chongqing Rural Commercial Bank Co., Ltd. - H Shares",441,Inclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,3618.HK,3618.HK,parse_ok,3618.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Inclusion,3669,3669.HK,China Yongda Automobiles Services Holdings Ltd.,391,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,3669.HK,3669.HK,parse_ok,3669.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Composite LargeCap & MidCap Index,Inclusion,3918,3918.HK,NagaCorp Ltd. - F,392,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,3918.HK,3918.HK,parse_ok,3918.HK,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,3968,3968.HK,"China Merchants Bank Co., Ltd. - H Shares",418,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,3968.HK,3968.HK,parse_ok,3968.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Index,Exclusion,3968,3968.HK,"China Merchants Bank Co., Ltd. - H Shares",446,Exclusion,Hang Seng Corporate Sustainability Index,unchanged,1,1,3968.HK,3968.HK,parse_ok,3968.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,3988,3988.HK,Bank of China Ltd. - H Shares,419,Exclusion,Hang Seng Corporate Sustainability Benchmark Index,unchanged,1,1,3988.HK,3988.HK,parse_ok,3988.HK,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng Corporate Sustainability Index,Exclusion,3988,3988.HK,Bank of China Ltd. - H Shares,447,Exclusion,Hang Seng Corporate Sustainability Index,unchanged,1,1,3988.HK,3988.HK,parse_ok,3988.HK,0,2018-06-12,0,,,,,,,,,
