date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf,y_enter_stock_connect,asof_date,fundamentals_available,revenue_ttm_asof,net_income_ttm_asof,ocf_ttm_asof,roe_asof,roa_asof,rev_ttm_qoq_trend,ni_ttm_qoq_trend,ocf_ttm_qoq_trend,fundamental_staleness_days,year
2025-06-09,Hang Seng Index,Inclusion,300,0300.HK,"Midea Group Co., Ltd. - H Shares",1843,Inclusion,Hang Seng Index,unchanged,1,1,0300.HK,0300.HK,parse_ok,0300.HK,1,2025-03-11,1,,,,,,,,,70.0,2025
2025-06-09,Hang Seng Composite Index,Inclusion,1364,1364.HK,Guming Holdings Ltd.,1841,Inclusion,Hang Seng Composite Index,unchanged,1,1,1364.HK,1364.HK,parse_ok,1364.HK,1,2025-03-11,1,,,,,,,,,70.0,2025
2025-06-09,Hang Seng Index,Inclusion,2057,2057.HK,ZTO Express (Cayman) Inc. - W,1844,Inclusion,Hang Seng Index,unchanged,1,1,2057.HK,2057.HK,parse_ok,2057.HK,1,2025-03-11,1,,,,,,,,,70.0,2025
2025-06-09,Hang Seng Composite Index,Inclusion,2097,2097.HK,MIXUE Group - H Shares,1842,Inclusion,Hang Seng Composite Index,unchanged,1,1,2097.HK,2097.HK,parse_ok,2097.HK,1,2025-03-11,1,,,,,,,,,70.0,2025
2025-06-09,Hang Seng Biotech Index,Inclusion,2410,2410.HK,"TYK Medicines, Inc - B - H Shares",1836,Inclusion,Hang Seng Biotech Index,unchanged,1,1,2410.HK,2410.HK,parse_ok,2410.HK,1,2025-03-11,1,,,,,,,,,254.0,2025
2025-12-08,Hang Seng HKEX Stock Connect China Enterprises Index,Inclusion,002371,002371.SZ,"NAURA Technology Group Co., Ltd.",1859,Inclusion,Hang Seng HKEX Stock Connect China Enterprises Index,unchanged,1,1,002371.SZ,002371.SZ,parse_ok,002371.SZ,1,2025-09-09,1,33644708142.72,6048563331.36,,0.178989518834874,0.07171244193195875,0.04535578998841783,-0.004408380644085885,,71.0,2025
2025-12-08,Hang Seng TECH Index,Removal,522,0522.HK,ASMPT Ltd.,1869,Removal,Hang Seng TECH Index,unchanged,1,1,0522.HK,0522.HK,parse_ok,0522.HK,0,2025-09-09,1,,,,,,,,,71.0,2025
2025-12-08,Hang Seng Composite Index,Inclusion,2525,2525.HK,Hesai Group - W,1854,Inclusion,Hang Seng Composite Index,unchanged,1,1,2525.HK,2525.HK,parse_ok,2525.HK,1,2025-09-09,1,2490865000.0,103145000.0,,0.023682998433608847,0.016471350995714687,,,,71.0,2025
2025-12-08,Hang Seng Composite Index,Inclusion,2580,2580.HK,"Aux Electric Co., Ltd.",1855,Inclusion,Hang Seng Composite Index,unchanged,1,1,2580.HK,2580.HK,parse_ok,2580.HK,1,2025-09-09,1,,,,,,,,,71.0,2025
2025-12-08,Hang Seng HKEX Stock Connect China Enterprises Index,Removal,600025,600025.SH,Huaneng Lancang River Hydropower Inc.,1864,Removal,Hang Seng HKEX Stock Connect China Enterprises Index,unchanged,1,1,600025.SH,600025.SS,parse_ok,600025.SS,0,2025-09-09,1,25960074387.53,8736654667.08,,0.11724646262322959,0.03979923985522909,0.004387671547076533,-0.0003613101445909539,,71.0,2025
2025-12-08,Hang Seng HKEX Stock Connect China Enterprises Index,Removal,600887,600887.SH,"Inner Mongolia Yili Industrial Group Co., Ltd.",1865,Removal,Hang Seng HKEX Stock Connect China Enterprises Index,unchanged,1,1,600887.SH,600887.SS,parse_ok,600887.SS,0,2025-09-09,1,117797485754.29001,8122203476.469999,,0.15238618779348573,0.0543110774142352,0.013568802162247318,0.09697990645918053,,71.0,2025
2025-12-08,Hang Seng China Enterprises Index,Removal,9901,9901.HK,New Oriental Education & Technology Group Inc. - S,1852,Removal,Hang Seng China Enterprises Index,unchanged,1,1,9901.HK,9901.HK,parse_ok,9901.HK,0,2025-09-09,1,4987826000.0,367009000.0,905700000.0,0.0928507439388546,0.04580212594027774,,,,9.0,2025
2025-12-08,Hang Seng Composite Index,Inclusion,9973,9973.HK,"Chery Automobile Co., Ltd. - H Shares",1858,Inclusion,Hang Seng Composite Index,unchanged,1,1,9973.HK,9973.HK,parse_ok,9973.HK,1,2025-09-09,1,,,,,,,,,71.0,2025
2025-12-08,Hang Seng China Enterprises Index,Inclusion,9987,9987.HK,"Yum China Holdings, Inc.",1849,Inclusion,Hang Seng China Enterprises Index,unchanged,1,1,9987.HK,9987.HK,parse_ok,9987.HK,1,2025-09-09,1,,,,,,,,,71.0,2025
2025-12-08,Hang Seng HKEX Stock Connect China Enterprises Index,Inclusion,9987,9987.HK,"Yum China Holdings, Inc.",1862,Inclusion,Hang Seng HKEX Stock Connect China Enterprises Index,unchanged,1,1,9987.HK,9987.HK,parse_ok,9987.HK,1,2025-09-09,1,,,,,,,,,71.0,2025
2026-03-09,Hang Seng HKEX Stock Connect China Enterprises Index,Removal,000568,000568.SZ,Luzhou Laojiao Company Limited,1874,Removal,Hang Seng HKEX Stock Connect China Enterprises Index,unchanged,1,1,000568.SZ,000568.SZ,parse_ok,000568.SZ,0,2025-12-09,1,30745095943.6,13108356123.68,,0.281654513980554,0.18675466800718285,-0.019608262478840843,-0.028421726771304612,,162.0,2026
2026-03-09,Hang Seng HKEX Stock Connect China Enterprises Index,Inclusion,2423,2423.HK,KE Holdings Inc. - W,1870,Inclusion,Hang Seng HKEX Stock Connect China Enterprises Index,unchanged,1,1,2423.HK,2423.HK,parse_ok,2423.HK,1,2025-12-09,1,103516547000.0,3476113000.0,2852641000.0,0.051238704046081024,0.029138622178433,0.004539696590361908,-0.10820946544847321,-0.3287963542914204,70.0,2026
2026-03-09,Hang Seng HKEX Stock Connect China Enterprises Index,Inclusion,300308,300308.SZ,"Zhongji Innolight Co., Ltd.",1871,Inclusion,Hang Seng HKEX Stock Connect China Enterprises Index,unchanged,1,1,300308.SZ,300308.SZ,parse_ok,300308.SZ,1,2025-12-09,1,27852640390.42,6808180301.13,,0.2983635007592811,0.19571211524477458,0.08402229284782403,0.1850420845159364,,162.0,2026
2026-03-09,Hang Seng HKEX Stock Connect China Enterprises Index,Removal,600406,600406.SH,"NARI Technology Co., Ltd.",1877,Removal,Hang Seng HKEX Stock Connect China Enterprises Index,unchanged,1,1,600406.SH,600406.SS,parse_ok,600406.SS,0,2025-12-09,1,61546322636.31999,7853136886.940001,,0.1611080261823555,0.08750883962847607,0.05003194983474146,0.020596561185786788,,162.0,2026
