date,index,change_type,ticker_normalized
2019-03-11,Hang Seng Stock Connect China AH Index Series,Exclusion,3958.HK / 600958.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Exclusion,3958.HK / 600958.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Exclusion,6099.HK / 600999.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Exclusion,6099.HK / 600999.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,1339.HK / 601319.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,1339.HK / 601319.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,1772.HK / 002460.SZ
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,1772.HK / 002460.SZ
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,1787.HK / 600547.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,1787.HK / 600547.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,2359.HK / 603259.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,2359.HK / 603259.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,6869.HK / 601869.SH
2019-03-11,Hang Seng Stock Connect China AH Index Series,Inclusion,6869.HK / 601869.SH
2019-09-09,Hang Seng China 50 Index,Exclusion,2611.HK / 601211.SH
2019-09-09,Hang Seng China 50 Index,Exclusion,2611.HK / 601211.SH
2019-09-09,Hang Seng China 50 Index,Inclusion,1339.HK / 601319.SH
2019-09-09,Hang Seng China 50 Index,Inclusion,1339.HK / 601319.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Exclusion,1772.HK / 002460.SZ
2019-09-09,Hang Seng Stock Connect China AH Index Series,Exclusion,1772.HK / 002460.SZ
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,0548.HK / 600548.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,0548.HK / 600548.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,0598.HK / 601598.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,0598.HK / 601598.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,0921.HK / 000921.SZ
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,0921.HK / 000921.SZ
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,1157.HK / 000157.SZ
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,1157.HK / 000157.SZ
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,1528.HK / 601828.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,1528.HK / 601828.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,2611.HK / 601211.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,2611.HK / 601211.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,3958.HK / 600958.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,3958.HK / 600958.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,6066.HK / 601066.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,6066.HK / 601066.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,6178.HK / 601788.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,6178.HK / 601788.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,6806.HK / 000166.SZ
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,6806.HK / 000166.SZ
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,6865.HK / 601865.SH
2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,6865.HK / 601865.SH
