source_row_id,ticker_normalized_raw,ticker_raw,ticker_parse_status,parsed_tokens,mapped_tickers
740,3958.HK / 600958.SH,3958 / 600958,parse_ok,3958.HK | 600958.SH,3958.HK | 600958.SS
741,6066.HK / 601066.SH,6066 / 601066,parse_ok,6066.HK | 601066.SH,6066.HK | 601066.SS
742,6178.HK / 601788.SH,6178 / 601788,parse_ok,6178.HK | 601788.SH,6178.HK | 601788.SS
743,6806.HK / 000166.SZ,6806 / 000166,parse_ok,6806.HK | 000166.SZ,6806.HK | 000166.SZ
744,6865.HK / 601865.SH,6865 / 601865,parse_ok,6865.HK | 601865.SH,6865.HK | 601865.SS
745,0390.HK,390,parse_ok,0390.HK,0390.HK
746,3323.HK,3323,parse_ok,3323.HK,3323.HK
747,1177.HK,1177,parse_ok,1177.HK,1177.HK
748,1193.HK,1193,parse_ok,1193.HK,1193.HK
749,2772.HK,2772,parse_ok,2772.HK,2772.HK
750,0914.HK,914,parse_ok,0914.HK,0914.HK
751,1109.HK,1109,parse_ok,1109.HK,1109.HK
752,603288.SH,603288,parse_ok,603288.SH,603288.SS
753,600010.SH,600010,parse_ok,600010.SH,600010.SS
754,601360.SH,601360,parse_ok,601360.SH,601360.SS
755,601390.SH,601390,parse_ok,601390.SH,601390.SS
756,0586.HK,586,parse_ok,0586.HK,0586.HK
757,2382.HK,2382,parse_ok,2382.HK,2382.HK
758,1339.HK,1339,parse_ok,1339.HK,1339.HK
759,1766.HK,1766,parse_ok,1766.HK,1766.HK
760,0116.HK,116,parse_ok,0116.HK,0116.HK
761,0120.HK,120,parse_ok,0120.HK,0120.HK
762,0302.HK,302,parse_ok,0302.HK,0302.HK
763,0697.HK,697,parse_ok,0697.HK,0697.HK
764,0826.HK,826,parse_ok,0826.HK,0826.HK
765,1268.HK,1268,parse_ok,1268.HK,1268.HK
766,1282.HK,1282,parse_ok,1282.HK,1282.HK
767,1286.HK,1286,parse_ok,1286.HK,1286.HK
768,1691.HK,1691,parse_ok,1691.HK,1691.HK
769,1789.HK,1789,parse_ok,1789.HK,1789.HK
770,1836.HK,1836,parse_ok,1836.HK,1836.HK
771,1873.HK,1873,parse_ok,1873.HK,1873.HK
772,1881.HK,1881,parse_ok,1881.HK,1881.HK
773,2048.HK,2048,parse_ok,2048.HK,2048.HK
774,2103.HK,2103,parse_ok,2103.HK,2103.HK
775,2400.HK,2400,parse_ok,2400.HK,2400.HK
776,3319.HK,3319,parse_ok,3319.HK,3319.HK
777,3331.HK,3331,parse_ok,3331.HK,3331.HK
778,6049.HK,6049,parse_ok,6049.HK,6049.HK
779,6069.HK,6069,parse_ok,6069.HK,6069.HK
780,6110.HK,6110,parse_ok,6110.HK,6110.HK
781,6186.HK,6186,parse_ok,6186.HK,6186.HK
782,0052.HK,52,parse_ok,0052.HK,0052.HK
783,0321.HK,321,parse_ok,0321.HK,0321.HK
