source_row_id,index_raw,index,index_normalization_status
1078,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1079,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1080,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1081,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1082,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1083,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1084,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1085,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1086,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1087,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1088,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1089,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1090,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1091,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1092,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1093,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1094,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1095,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1096,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1097,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1098,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1099,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1100,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1101,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1102,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1103,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1104,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1105,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1106,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1107,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1108,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1109,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1110,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1111,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1112,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1113,Hang Seng Index,Hang Seng Index,unchanged
1114,Hang Seng Index,Hang Seng Index,unchanged
1115,Hang Seng Index,Hang Seng Index,unchanged
1116,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1117,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
