date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf
2017-03-06,Hang Seng China 50 Index,Exclusion,902 / 600011,0902.HK / 600011.SH,"Huaneng Power International, Inc.",94,Exclusion,Hang Seng China 50 Index,unchanged,2,0,600011.SH,600011.SS,parse_ok,600011.SS
2017-03-06,Hang Seng China AH Index Series,Exclusion,168 / 600600,0168.HK / 600600.SH,Tsingtao Brewery Co. Ltd.,100,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,0168.HK,0168.HK,parse_ok,0168.HK
2017-03-06,Hang Seng China AH Index Series,Exclusion,168 / 600600,0168.HK / 600600.SH,Tsingtao Brewery Co. Ltd.,100,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,600600.SH,600600.SS,parse_ok,600600.SS
2017-03-06,Hang Seng China AH Index Series,Exclusion,991 / 601991,0991.HK / 601991.SH,"Datang International Power Generation Co., Ltd.",101,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,0991.HK,0991.HK,parse_ok,0991.HK
2017-03-06,Hang Seng China AH Index Series,Exclusion,991 / 601991,0991.HK / 601991.SH,"Datang International Power Generation Co., Ltd.",101,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,601991.SH,601991.SS,parse_ok,601991.SS
2017-03-06,Hang Seng China AH Index Series,Exclusion,1072 / 600875,1072.HK / 600875.SH,Dongfang Electric Corporation Ltd.,102,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,1072.HK,1072.HK,parse_ok,1072.HK
2017-03-06,Hang Seng China AH Index Series,Exclusion,1072 / 600875,1072.HK / 600875.SH,Dongfang Electric Corporation Ltd.,102,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,600875.SH,600875.SS,parse_ok,600875.SS
2017-03-06,Hang Seng China AH Index Series,Exclusion,2039 / 000039,2039.HK / 000039.SZ,"China Int'l Marine Containers (Group) Co., Ltd.",103,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,2039.HK,2039.HK,parse_ok,2039.HK
2017-03-06,Hang Seng China AH Index Series,Exclusion,2039 / 000039,2039.HK / 000039.SZ,"China Int'l Marine Containers (Group) Co., Ltd.",103,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,000039.SZ,000039.SZ,parse_ok,000039.SZ
2017-03-06,Hang Seng China AH Index Series,Exclusion,2238 / 601238,2238.HK / 601238.SH,"Guangzhou Automobile Group Co., Ltd.",104,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,2238.HK,2238.HK,parse_ok,2238.HK
2017-03-06,Hang Seng China AH Index Series,Exclusion,2238 / 601238,2238.HK / 601238.SH,"Guangzhou Automobile Group Co., Ltd.",104,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,601238.SH,601238.SS,parse_ok,601238.SS
2017-03-06,Hang Seng China AH Index Series,Exclusion,2883 / 601808,2883.HK / 601808.SH,China Oilfield Services Ltd.,105,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,2883.HK,2883.HK,parse_ok,2883.HK
2017-03-06,Hang Seng China AH Index Series,Exclusion,2883 / 601808,2883.HK / 601808.SH,China Oilfield Services Ltd.,105,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,601808.SH,601808.SS,parse_ok,601808.SS
2017-03-06,Hang Seng China AH Index Series,Inclusion,3958 / 600958,3958.HK / 600958.SH,DFZQ,106,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,3958.HK,3958.HK,parse_ok,3958.HK
2017-03-06,Hang Seng China AH Index Series,Inclusion,3958 / 600958,3958.HK / 600958.SH,DFZQ,106,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600958.SH,600958.SS,parse_ok,600958.SS
2017-03-06,Hang Seng China AH Index Series,Inclusion,6099 / 600999,6099.HK / 600999.SH,"China Merchants Securities Co., Ltd.",107,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,6099.HK,6099.HK,parse_ok,6099.HK
2017-03-06,Hang Seng China AH Index Series,Inclusion,6099 / 600999,6099.HK / 600999.SH,"China Merchants Securities Co., Ltd.",107,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600999.SH,600999.SS,parse_ok,600999.SS
2017-03-06,Hang Seng China AH Index Series,Inclusion,6178 / 601788,6178.HK / 601788.SH,Everbright Securities Co. Ltd.,108,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,6178.HK,6178.HK,parse_ok,6178.HK
2017-03-06,Hang Seng China AH Index Series,Inclusion,6178 / 601788,6178.HK / 601788.SH,Everbright Securities Co. Ltd.,108,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,601788.SH,601788.SS,parse_ok,601788.SS
2017-09-04,Hang Seng China AH Index Series,Exclusion,1033 / 600871,1033.HK / 600871.SH,Sinopec Oilfield Service Corporation,163,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,1033.HK,1033.HK,parse_ok,1033.HK
2017-09-04,Hang Seng China AH Index Series,Exclusion,1033 / 600871,1033.HK / 600871.SH,Sinopec Oilfield Service Corporation,163,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,600871.SH,600871.SS,parse_ok,600871.SS
2017-09-04,Hang Seng China AH Index Series,Exclusion,3958 / 600958,3958.HK / 600958.SH,DFZQ,164,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,3958.HK,3958.HK,parse_ok,3958.HK
2017-09-04,Hang Seng China AH Index Series,Exclusion,3958 / 600958,3958.HK / 600958.SH,DFZQ,164,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,600958.SH,600958.SS,parse_ok,600958.SS
